,Unnamed: 0,Основное средство,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость
0,"101.34, Машины и оборудование – иное движимое имущество учреждения",,,,,,,,,,,7371031.21,102.0,3360802.24,4010228.97
1,1,,,,,,,,,,,7371031.21,102.0,3360802.24,4010228.97
2,04100000000000000,,,,,,,,,,,7371031.21,102.0,3360802.24,4010228.97
3,Кузнецов Максим Сергеевич,,,,,,,,,,,7371031.21,102.0,3360802.24,4010228.97
4,,,,,,,,,,,,7371031.21,102.0,3360802.24,4010228.97
5,1,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000165.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
6,2,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000167.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
7,3,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000169.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
8,4,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000170.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
9,5,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000172.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
10,6,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000174.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
11,7,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000176.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
12,8,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000177.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
13,9,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000178.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
14,10,"Система СКУД (Нижний Сусальный пер, дом 5, стр. 19,4,5а(на вход в здание))",11013404000351.0,320.26.30.11.130,4.0,Линейный,21.05.2020,Введено в эксплуатацию,84.0,1.19,26.19,184042.0,1.0,48201.56,135840.44
