МОЛ,Цена,Количество,Сумма,Номер счёта,Дата,Классификатор
"Клей Момент Столяр Экспресс,750г, ",410.4,2.0,820.8,105,31.03.2022,105.34
"Клей монтажный «Tytanprofessional» Classic Fix каучуковый,прозрачный 310 мл, ",475.2,4.0,1900.8,105,31.03.2022,105.34
"Клей ПВА TYTAN PROFESSIONAL WB 33D3 для древесины,белый750г, ",799.2,3.0,2397.6,105,31.03.2022,105.34
"Крепежный уголок 50х50х35х2, ",22.24,100.0,2224.0,105,31.03.2022,105.34
"Ботинки кожаные ""Стандарт-М"" утепленные, ПУ/ТПУ, с внутренними металлическими защитными носками р.43, пар",2115.46,2.0,4230.92,105,31.03.2022,105.35
"Держатель предфильтров UNIX, упак",81.29,2.0,162.58,105,31.03.2022,105.35
"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р. 96-100/170-176, шт",3475.68,4.0,13902.72,105,31.03.2022,105.35
"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р. 96-100/182-188, шт",3475.68,2.0,6951.36,105,31.03.2022,105.35
"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р.104-108/182-188, шт",3475.68,10.0,34756.8,105,31.03.2022,105.35
"Куртка мужская ""Зима"" для защиты от пониженных температур р. 104-108/182-188, шт",2257.25,1.0,2257.25,105,31.03.2022,105.35
"Очки открытые ""Феос Ван"" UVEX (9192370) прозрачная линза, покрытие supravision excellence, шт",409.29,1.0,409.29,105,31.03.2022,105.35
"Перчатки трикотажные ""Сити"" для защиты рук от механических взаимодействий и ОПЗ/ПВХ-покрытие/ р.9, пар",33.08,40.0,1323.2,105,31.03.2022,105.35
"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 104-108/182-188, шт",1751.59,3.0,5254.77,105,31.03.2022,105.35
"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 96-100/170-176, шт",1751.59,1.0,1751.59,105,31.03.2022,105.35
"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.42, пар",2919.87,2.0,5839.74,105,31.03.2022,105.35
"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.43, пар",2919.87,3.0,8759.61,105,31.03.2022,105.35
"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.44, пар",2919.87,2.0,5839.74,105,31.03.2022,105.35
"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.45, пар",2919.87,2.0,5839.74,105,31.03.2022,105.35
"Полумаска изолирующая UNIX 1000 (большой размер), шт",861.12,1.0,861.12,105,31.03.2022,105.35
"Фильтр UNIX 522 марки А2В2Е2, упак",673.96,4.0,2695.84,105,31.03.2022,105.35
"Фильтр противоаэрозольный UNIX Р2, упак",162.58,8.0,1300.64,105,31.03.2022,105.35
"Халат мужской р. 104-108/182-188, шт",1028.63,1.0,1028.63,105,31.03.2022,105.35
"Аптечка для оказания первой помощи работникам (пластиковый шкаф 250мм*300мм*110мм) ФЭСТ.(Изготовлена в соответствии с Приказов Минздравсоцразвития РФ , шт",813.91,13.0,10580.83,105,31.03.2022,105.36
"Бумага  офисная ф. А4, 80 г/м2, 500 л. в пачке, пач",570.0,840.0,478800.0,105,31.03.2022,105.36
"Бумага для офисной техники IQ Allround А3, класса В+, 80 г/м2, 500л., упак",442.85,100.0,44284.69,105,31.03.2022,105.36
"Бур 12*560, шт",417.5,1.0,417.5,105,31.03.2022,105.36
"Бур по бетону Gigant 6х110 SDS Plus, ",69.76,5.0,348.8,105,31.03.2022,105.36
"Валик STAYER PROFI NYLON 0316-24, ",401.76,2.0,803.52,105,31.03.2022,105.36
"Валик для водных красок Dexter 250 мм, ",177.12,6.0,1062.72,105,31.03.2022,105.36
"Валик малярный с ручкой 250мм, к-т",208.75,1.0,208.75,105,31.03.2022,105.36
"Валик СИБРТЕХ ВЕЛЮР 801326*36*100мм, ",108.0,2.0,216.0,105,31.03.2022,105.36
"Ванночка для краски, шт",66.8,6.0,400.8,105,31.03.2022,105.36
"Винт самонарезной ШСГД редкая резьба 4,2*76, упак",302.25,1.0,302.25,105,31.03.2022,105.36
"Вода питьевая ""Королевская вода"", 19л, шт",216.0,274.0,59184.0,105,31.03.2022,105.36
"вода питьевая ""МИЯ"" 0,33 л. 24 бут/упак., упак",509.04,63.0,32069.52,105,31.03.2022,105.36
"Вытяжная заклёпка комбинированная 3,2х10 алюминий/сталь, ",103.68,3.0,311.04,105,31.03.2022,105.36
"Диспенсер Unibob K-290 для клейкой упаковочной ленты шириной 50 мм, шт",286.31,7.0,2004.17,105,31.03.2022,105.36
"Дюбель для гипсокартона driva. PA 14*32 нейлон. SORMAT, шт",14.6,170.0,2482.0,105,31.03.2022,105.36
"Дюбель распорный Tchappai 8*40 Tech-Krep 111471, шт",45.8,4.0,183.2,105,31.03.2022,105.36
"Дюбель распорный Чапай 6*40, шт",55.55,5.0,277.75,105,31.03.2022,105.36
"Заклепка вытяжная 4,0х10мм, ",129.6,3.0,388.8,105,31.03.2022,105.36
"Заклепочник Gross 40405, ",2561.76,1.0,2561.76,105,31.03.2022,105.36
