,Unnamed: 0,Основное средство,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость
0,"101.34, Машины и оборудование – иное движимое имущество учреждения",,,,,,,,,,,7696823.27,102.0,3824931.63,3871891.64
1,1,,,,,,,,,,,7696823.27,102.0,3824931.63,3871891.64
2,04100000000000000,,,,,,,,,,,7696823.27,102.0,3824931.63,3871891.64
3,Кузнецов Максим Сергеевич,,,,,,,,,,,7696823.27,102.0,3824931.63,3871891.64
4,,,,,,,,,,,,7696823.27,102.0,3824931.63,3871891.64
5,1,Кресло руководителя Амбассадор,4101360600001.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
6,2,Кресло руководителя Амбассадор,4101340600003.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
7,3,Кресло руководителя Амбассадор,4101340600006.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
8,4,Кресло руководителя Амбассадор,4101340600009.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
9,5,Кресло руководителя Амбассадор,4101340600011.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
10,6,Кресло руководителя Амбассадор,4101340600022.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
11,7,Кресло руководителя Амбассадор,4101340600012.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
