,МОЛ,Цена,Количество,Сумма
0,Место хранения,,,
1,Счет,,,
2,КФО,,,
3,Номенклатура,,,
4,Кузнецов Максим Сергеевич,,4371.0,1613559.99
5,,,4371.0,1613559.99
6,105.34,,78.0,6200.8
7,1,,78.0,6200.8
8,"Клей Момент Столяр Экспресс,750г, ",410.4,2.0,820.8
9,"Клей монтажный «Tytanprofessional» Classic Fix каучуковый,прозрачный 310 мл, ",475.2,3.0,1425.6
10,"Клей ПВА TYTAN PROFESSIONAL WB 33D3 для древесины,белый750г, ",799.2,3.0,2397.6
11,"Крепежный уголок 50х50х35х2, ",22.24,70.0,1556.8
12,105.35,,93.0,124265.54
13,1,,93.0,124265.54
14,"Ботинки кожаные ""Стандарт-М"" утепленные, ПУ/ТПУ, с внутренними металлическими защитными носками р.43, пар",2115.46,2.0,4230.92
15,"Держатель предфильтров UNIX, упак",81.29,2.0,162.58
16,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р. 96-100/170-176, шт",3475.68,4.0,13902.72
17,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р. 96-100/182-188, шт",3475.68,2.0,6951.36
18,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р.104-108/182-188, шт",3475.68,10.0,34756.8
19,"Куртка мужская ""Зима"" для защиты от пониженных температур р. 104-108/182-188, шт",2257.25,1.0,2257.25
20,"Очки открытые ""Феос Ван"" UVEX (9192370) прозрачная линза, покрытие supravision excellence, шт",409.29,1.0,409.29
21,"Перчатки трикотажные ""Сити"" для защиты рук от механических взаимодействий и ОПЗ/ПВХ-покрытие/ р.9, пар",33.08,40.0,1323.2
22,"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 104-108/182-188, шт",1751.59,3.0,5254.77
23,"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 96-100/170-176, шт",1751.59,1.0,1751.59
24,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.42, пар",2919.87,2.0,5839.74
25,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.43, пар",2919.87,3.0,8759.61
26,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.44, пар",2919.87,2.0,5839.74
27,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.45, пар",2919.87,2.0,5839.74
28,"Полумаска изолирующая UNIX 1000 (большой размер), шт",861.12,1.0,861.12
29,"Противогаз ГП -21У с фильтром ФК-Универсал марки A1B1E1K1HgSXP3D и лицевой частью МП-3, шт",5160.0,2.0,10320.0
30,"Самоспасатель пожарный изолирующий СПИ-20М, шт",5390.0,2.0,10780.0
31,"Фильтр UNIX 522 марки А2В2Е2, упак",673.96,4.0,2695.84
32,"Фильтр противоаэрозольный UNIX Р2, упак",162.58,8.0,1300.64
33,"Халат мужской р. 104-108/182-188, шт",1028.63,1.0,1028.63
34,105.36,,4200.0,1483093.65
35,1,,4200.0,1483093.65
36,"Brauberg Блок пастельный самоклеящийся цвет светло-зеленый 76 х 76 мм 100 листов, ",39.6,400.0,15840.0
37,"Аптечка для оказания первой помощи работникам (пластиковый шкаф 250мм*300мм*110мм) ФЭСТ.(Изготовлена в соответствии с Приказов Минздравсоцразвития РФ , шт",813.91,13.0,10580.83
38,"Бумага  офисная ф. А4, 80 г/м2, 500 л. в пачке, пач",570.0,305.0,173850.0
39,"Бумага для офисной техники IQ Allround А3, класса В+, 80 г/м2, 500л., упак",442.85,85.0,37641.99
40,"Бур 12*560, шт",417.5,1.0,417.5
41,"Бур по бетону Gigant 6х110 SDS Plus, ",69.76,5.0,348.8
42,"Валик STAYER PROFI NYLON 0316-24, ",401.76,2.0,803.52
43,"Валик для водных красок Dexter 250 мм, ",177.12,6.0,1062.72
44,"Валик малярный с ручкой 250мм, к-т",208.75,1.0,208.75
45,"Валик СИБРТЕХ ВЕЛЮР 801326*36*100мм, ",108.0,2.0,216.0
46,"Ванночка для краски, шт",66.8,6.0,400.8
47,"Визитные карточки 2 сторонние (100шт/комп.), компл",746.25,6.0,4477.5
48,"Винт самонарезной ШСГД редкая резьба 4,2*76, упак",302.25,1.0,302.25
49,"Вода питьевая ""Королевская вода"", 19л, шт",216.0,45.0,9720.0
50,"вода питьевая ""МИЯ"" 0,33 л. 24 бут/упак., упак",523.46,193.0,101027.44
51,"Вытяжная заклёпка комбинированная 3,2х10 алюминий/сталь, ",103.68,3.0,311.04
52,"Диспенсер Unibob K-290 для клейкой упаковочной ленты шириной 50 мм, шт",286.31,7.0,2004.17
53,"Дюбель для гипсокартона driva. PA 14*32 нейлон. SORMAT, шт",14.6,170.0,2482.0
54,"Дюбель распорный Tchappai 8*40 Tech-Krep 111471, шт",45.8,4.0,183.2
55,"Дюбель распорный Чапай 6*40, шт",55.55,5.0,277.75
56,"Заклепка вытяжная 4,0х10мм, ",129.6,3.0,388.8
57,"Заклепочник Gross 40405, ",2561.76,1.0,2561.76
58,"Изготовление знака E02-01 (Направляющая стрелка) 200*200 мм на фотолюменисцентной пленке, шт",110.0,6.0,660.0
59,"Изготовление знака E22 (Указатель выхода) 300*150 мм фотолюменисцентной пленке, ",124.0,3.0,372.0
60,"Изготовление знака F04 (Огнетушитель) 100*100 мм на фотолюминесцентной пленке, шт",28.0,14.0,392.0
61,"Изготовление знака F10 (Рожарный извещатель) 100*100 мм на фотолюминесцентной пленке, шт",28.0,31.0,868.0
62,"Изготовление знака на самоклеющейся пленке, EC01 (Аптечка) 200*200 мм, шт",28.0,20.0,560.0
63,"Изготовление знака на самоклеющейся пленке, P01-00 (Запрещается курить), 204*204 мм, ",28.0,100.0,2800.0
64,"Изготовление знака на самоклеющейся пленке, Р01-02 (Круг желтый) 200 мм, шт",28.0,30.0,840.0
65,"Изготовление металлической цифры «0», шт",113.43,55.0,6238.65
66,"Изготовление металлической цифры «1», шт",107.46,40.0,4298.4
67,"Изготовление металлической цифры «2», шт",113.43,15.0,1701.45
68,"Изготовление металлической цифры «3», шт",113.43,15.0,1701.45
69,"Изготовление металлической цифры «4», шт",133.33,15.0,1999.95
70,"Изготовление металлической цифры «6», шт",113.43,15.0,1701.45
71,"Изготовление металлической цифры «9», шт",113.43,15.0,1701.45
72,"Изолента, рул",41.75,15.0,626.25
73,"Кабель ВВГ нгLS3*2,5, шт",58.45,220.0,12859.0
74,"Кабель-канал с двойным замком белый 25*16, шт",47.0,58.0,2726.0
75,"Кисть малярная плоская ширина 50, шт",50.1,16.0,801.6
76,"Клей МОМЕНТ Супер Гель, шт",97.5,10.0,975.0
77,"Клещи переставные 250мм, шт",417.5,2.0,835.0
78,"Ключ разводной 888 6833208 8"", с обрезиненной рукояткой, шт",250.5,1.0,250.5
