Основные средства,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость,Номер счёта,Дата,Классификатор
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000165.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000167.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000169.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000170.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000172.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000174.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000176.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000177.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000178.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
"Система СКУД (Нижний Сусальный пер, дом 5, стр. 19,4,5а(на вход в здание))",11013404000351.0,320.26.30.11.130,4.0,Линейный,21.05.2020,Введено в эксплуатацию,84.0,1.19,26.19,184042.0,1.0,48201.56,135840.44,101,31.03.2022,101.34
"Система СКУД (Яковоапостольский пер., д.12, стр. 1, этаж 6 помещение 3,4)",11013404000358.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,27.08.2020,Введено в эксплуатацию,84.0,1.19,100.0,69416.28,1.0,69416.28,0.0,101,31.03.2022,101.34
"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000015.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100.0,15004.26,1.0,15004.26,0.0,101,31.03.2022,101.34
"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000016.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100.0,15004.26,1.0,15004.26,0.0,101,31.03.2022,101.34
Система СКУД,11013404000365.0,320.26.30.11.130,4.0,Линейный,15.12.2020,Введено в эксплуатацию,84.0,1.19,17.86,220512.0,1.0,39377.1,181134.9,101,31.03.2022,101.34
"Огнетушитель  ""Bontel"" 2 кг",4101340400014.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100.0,4300.0,1.0,4300.0,0.0,101,31.03.2022,101.34
"Огнетушитель  ""Bontel"" 2 кг",4101340400015.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100.0,4300.0,1.0,4300.0,0.0,101,31.03.2022,101.34
"Огнетушитель  ""Bontel"" 2 кг",4101340400019.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100.0,4300.0,1.0,4300.0,0.0,101,31.03.2022,101.34
"Огнетушитель  ""Bontel"" 2 кг",4101340400021.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100.0,4300.0,1.0,4300.0,0.0,101,31.03.2022,101.34
Ручная гидравлическая тележка KRONA CL 25-115,11013404000309.0,330.28.22.14.159,4.0,100% при вводе в эксплуатацию,16.04.2019,Введено в эксплуатацию,84.0,1.19,100.0,16915.0,1.0,16915.0,0.0,101,31.03.2022,101.34
Ручная гидравлическая тележка KRONA CL 25-115,11013404000310.0,330.28.22.14.159,4.0,100% при вводе в эксплуатацию,16.04.2019,Введено в эксплуатацию,84.0,1.19,100.0,16915.0,1.0,16915.0,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003661.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003663.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003666.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
Тепловизор CEM DT-870,11013403000449.0,330.26.51.66,3.0,100% при вводе в эксплуатацию,19.08.2020,Введено в эксплуатацию,60.0,1.667,100.0,56980.0,1.0,56980.0,0.0,101,31.03.2022,101.34
Телевизор  (Samsung SyncMater UE40J5100),4101340400001.0,320.26.30.1,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100.0,27750.0,1.0,27750.0,0.0,101,31.03.2022,101.34
Считыватель ESMART Reader Stone (система контроля удаленного доступа),11013406000075.0,330.26.70,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,16694.7,1.0,16694.7,0.0,101,31.03.2022,101.34
IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000066.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,11192.71,1.0,11192.71,0.0,101,31.03.2022,101.34
IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000068.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,11192.71,1.0,11192.71,0.0,101,31.03.2022,101.34
IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000069.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,11192.71,1.0,11192.71,0.0,101,31.03.2022,101.34
"Блок питания БИРП-12/1,6 (система контроля удаленного доступа)",11013401000005.0,320.26.30.11.190,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,10004.66,1.0,10004.66,0.0,101,31.03.2022,101.34
"Блок питания БИРП-12/1,6 (система контроля удаленного доступа)",11013401000006.0,320.26.30.11.190,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,10004.66,1.0,10004.66,0.0,101,31.03.2022,101.34
Настенный кондиционер,11013405000003.0,330.28.25.12.190,5.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,120.0,0.833,100.0,42174.0,1.0,42174.0,0.0,101,31.03.2022,101.34
Система вентиляции и кондиционирования,11013405000005.0,330.28.25.12.190,5.0,Линейный,22.11.2019,Введено в эксплуатацию,120.0,0.833,23.33,177867.58,1.0,41502.44,136365.14,101,31.03.2022,101.34
"Медиа-панель LED 40"" Samsung UE40MU6103UXRU",4101340401106.0,320.26.30.1,4.0,Линейный,16.11.2017,Введено в эксплуатацию,84.0,1.19,61.9,42900.0,1.0,26556.92,16343.08,101,31.03.2022,101.34
"Медиа-панель LED 49"" Samsung UE49MU6300UXRU",4101340401107.0,320.26.30.1,4.0,Линейный,16.11.2017,Введено в эксплуатацию,84.0,1.19,61.9,54900.0,1.0,33985.64,20914.36,101,31.03.2022,101.34
"Тревожная сигнализация(Яковоапостольский пер., дом 12стр1)",11013406000123.0,330.26.30.50,6.0,100% при вводе в эксплуатацию,07.04.2020,Введено в эксплуатацию,180.0,0.556,100.0,34801.12,1.0,34801.12,0.0,101,31.03.2022,101.34
Телевизор  (Samsung SyncMater UE40J5100),4101340400003.0,320.26.30.1,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100.0,27750.0,1.0,27750.0,0.0,101,31.03.2022,101.34
Телевизор  (Samsung SyncMater UE40J5100),4101340400004.0,320.26.30.1,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100.0,27750.0,1.0,27750.0,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101360600001.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600003.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600006.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600009.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600011.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600022.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600012.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600013.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600017.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600018.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600020.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Кресло руководителя Амбассадор,4101340600021.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100.0,4115.25,1.0,4115.25,0.0,101,31.03.2022,101.34
Система автоматической пожарной сигнализации,11013406000077.0,330.26.30.50,6.0,Линейный,21.10.2019,Введено в эксплуатацию,180.0,0.556,16.11,168754.83,1.0,27188.37,141566.46,101,31.03.2022,101.34
Настенный фанкойл Lessar,11013405000004.0,330.28.25.12.190,5.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,120.0,0.833,100.0,44200.0,1.0,44200.0,0.0,101,31.03.2022,101.34
"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000018.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100.0,15004.26,1.0,15004.26,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003670.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Система СКУД (Нижний Сусальный переулок, дом 5, строение16, 3 этаж, помещения 305 и 306)",11013404000362.0,320.26.30.11.130,4.0,Линейный,13.11.2020,Введено в эксплуатацию,84.0,1.19,,105852.0,1.0,0.0,105852.0,101,31.03.2022,101.34
"Система СКС (Нижний Сусальный переулок дом 5, строение 19, этаж а2)",11013404000656.0,320.26.30,4.0,Линейный,31.05.2021,Введено в эксплуатацию,26.0,5.263,65.38,445635.16,1.0,291376.87,154258.29,101,31.03.2022,101.34
"Система ВОЛС (Нижний Сусальный переулок дом 5, строение 5а, этаж 4)",11013404000655.0,320.26.30,4.0,Линейный,31.05.2021,Введено в эксплуатацию,14.0,14.286,100.0,150401.22,1.0,150401.22,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003665.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000019.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100.0,15004.26,1.0,15004.26,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003672.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000164.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000168.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000175.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
"Система СКУД (Яковоапостольский переулок, дом № 12, строение 1)",11013404000352.0,320.26.30.11.130,4.0,Линейный,10.06.2020,Введено в эксплуатацию,84.0,1.19,25.0,197906.0,1.0,49476.42,148429.58,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003662.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003667.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Огнетушитель  ""Bontel"" 2 кг",4101340400016.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100.0,4300.0,1.0,4300.0,0.0,101,31.03.2022,101.34
"Огнетушитель  ""Bontel"" 2 кг",4101340400017.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100.0,4300.0,1.0,4300.0,0.0,101,31.03.2022,101.34
Считыватель ESMART Reader Stone (система контроля удаленного доступа),11013406000076.0,330.26.70,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,16694.7,1.0,16694.7,0.0,101,31.03.2022,101.34
IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000072.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,11192.71,1.0,11192.71,0.0,101,31.03.2022,101.34
